match_id,date,home_team,away_team,home_elo_pre,away_elo_pre,elo_diff,home_fifa_rank,away_fifa_rank,rank_diff,home_fifa_points,away_fifa_points,home_goals_scored_avg_L5,home_goals_conceded_avg_L5,home_avg_opponent_elo_last_5,home_avg_opponent_fifa_rank_last_5,home_weighted_goal_diff_last_5,away_goals_scored_avg_L5,away_goals_conceded_avg_L5,away_avg_opponent_elo_last_5,away_avg_opponent_fifa_rank_last_5,away_weighted_goal_diff_last_5,home_win_rate_L10,home_goal_diff_avg_L10,home_avg_opponent_elo_last_10,home_avg_opponent_fifa_rank_last_10,home_weighted_goal_diff_last_10,away_win_rate_L10,away_goal_diff_avg_L10,away_avg_opponent_elo_last_10,away_avg_opponent_fifa_rank_last_10,away_weighted_goal_diff_last_10,h2h_avg_goals_home,h2h_avg_goals_away,neutral,tournament
36,2026-06-20,Tunisia,Japan,1641.0,1878.0,-237.0,52,15,37,1464.42,1652.79,1.0,1.0,1581.6,63.6,-0.011333333333333329,1.6,0.0,1714.4,55.0,1.7894666666666665,0.3,0.4,1574.9,65.5,0.3926,0.7,1.3,1726.0,49.3,1.3428666666666667,0.6,1.2,1,FIFA World Cup
33,2026-06-20,Germany,Côte d'Ivoire,1910.0,1607.0,303.0,10,46,-36,1703.79,1478.47,3.6,0.8,1607.0,59.8,2.978933333333333,2.6,1.0,1635.8,50.2,1.7924,0.8,1.7,1629.1,57.6,1.6991333333333334,0.7,1.3,1555.1,64.3,1.3498666666666668,2.0,2.0,1,FIFA World Cup
34,2026-06-20,Ecuador,Curaçao,1933.0,1467.0,466.0,24,91,-67,1560.13,1264.78,1.2,0.6,1756.8,40.0,0.6378666666666666,1.8,2.2,1529.0,77.8,-0.9620000000000001,0.3,0.4,1801.9,32.9,0.45953333333333324,0.3,0.0,1471.1,89.6,-0.2992000000000001,0.0,0.0,1,FIFA World Cup
37,2026-06-21,Uruguay,Cabo Verde,1890.0,1560.0,330.0,11,72,-61,1695.91,1328.51,0.8,1.4,1816.4,26.8,-0.7040000000000001,1.4,1.2,1694.8,40.4,0.24600000000000008,0.4,0.1,1725.1,46.5,0.08820000000000001,0.4,0.7,1537.7,77.5,0.6207333333333332,0.0,0.0,1,FIFA World Cup
38,2026-06-21,Spain,Saudi Arabia,2171.0,1612.0,559.0,3,59,-56,1853.27,1406.56,2.6,0.4,1668.2,48.6,2.361466666666667,0.8,2.0,1688.2,50.8,-1.3722666666666667,0.7,2.3,1728.6,42.9,2.5596,0.4,-0.5,1640.8,53.4,-0.6529999999999999,3.0,0.6666666666666666,1,FIFA World Cup
39,2026-06-21,Belgium,Iran,1849.0,1754.0,95.0,8,18,-10,1740.62,1635.31,3.6,1.2,1526.2,75.6,1.9985333333333333,1.8,0.6,1592.4,57.0,1.2514666666666667,0.6,2.5,1483.6,85.5,2.0734666666666666,0.4,0.9,1579.9,59.25,0.8539333333333333,0.0,0.0,1,FIFA World Cup
40,2026-06-21,New Zealand,Egypt,1586.0,1591.0,-5.0,89,33,56,1269.83,1513.48,1.2,1.6,1804.8,39.6,-0.4896000000000001,1.0,0.2,1799.0,31.4,0.8569333333333333,0.2,-0.6,1764.8,35.6,-0.7290000000000001,0.6,0.9,1648.7,56.0,0.9192666666666668,0.3333333333333333,1.0,1,FIFA World Cup
41,2026-06-22,Norway,Senegal,1922.0,1803.0,119.0,43,17,26,1484.44,1637.25,2.0,1.0,1748.6,49.6,1.0584,1.6,1.4,1658.0,25.75,0.07973333333333325,0.7,2.5,1692.0,67.6,1.838888888888889,0.7,1.0,1562.5,62.0,0.8785999999999999,1.0,2.0,1,FIFA World Cup
42,2026-06-22,France,Iraq,2062.0,1582.0,480.0,2,56,-54,1859.78,1442.86,2.8,1.0,1735.8,45.8,2.1068,1.0,0.8,1492.0,92.8,0.06133333333333337,0.8,1.6,1751.7,45.4,1.7868000000000002,0.6,0.4,1492.7,85.5,0.3198666666666667,0.0,0.0,1,FIFA World Cup
43,2026-06-22,Argentina,Austria,2113.0,1818.0,295.0,1,22,-21,1867.25,1589.84,3.2,0.2,1419.2,97.0,2.6390666666666664,1.8,0.6,1565.0,68.4,1.1722666666666666,0.8,2.1,1655.4,62.3,2.0735333333333337,0.8,2.3,1400.3,100.4,1.6716000000000002,3.0,1.0,1,FIFA World Cup
44,2026-06-22,Jordan,Algeria,1687.0,1726.0,-39.0,64,37,27,1375.91,1495.85,1.6,2.2,1719.8,38.2,-0.7878666666666666,2.2,0.6,1619.6,62.8,1.5909333333333333,0.5,0.3,1631.5,52.8,0.21486666666666662,0.7,1.8,1557.4,69.3,1.7679333333333331,0.5,3.5,1,FIFA World Cup
45,2026-06-23,England,Ghana,2042.0,1509.0,533.0,4,77,-73,1813.81,1320.52,2.0,0.4,1700.0,52.6,1.5294666666666665,0.4,2.4,1842.0,17.8,-2.4482666666666666,0.7,1.7,1594.6,68.3,1.6868666666666665,0.4,0.1,1595.4,65.6,-0.24326666666666666,1.0,1.0,1,FIFA World Cup
